anio,nombre,sexo_registral,frecuencia
2003,Antonieta,F,25
2003,Aranzazu,F,25
2003,Bastían,M,25
2003,Cintia,F,25
2003,Constansa,F,25
2003,Damarys,F,25
2003,Danahe,F,25
2003,Ester,F,25
2003,Fabricio,M,25
2003,Gladys,F,25
2003,Ivette,F,25
2003,Kihara,F,25
2003,Mackarena,F,25
2003,Analia,F,24
2003,Benjamìn,M,24
2003,Elsa,F,24
2003,Evelin,F,24
2003,Jared,M,24
2003,Jimena,F,24
2003,Krishnna,F,24
2003,Masiel,F,24
2003,Mayte,F,24
2003,Norma,F,24
2003,Ramiro,M,24
2003,Stefany,F,24
2003,Tamar,F,24
2003,Anderson,M,23
2003,Andrew,M,23
2003,Casandra,F,23
2003,Cindy,F,23
2003,Cristofher,M,23
2003,Dorian,M,23
2003,Edith,F,23
2003,Gerard,M,23
2003,Iris,F,23
2003,Isamar,F,23
2003,Jazmin,F,23
2003,Julian,M,23
2003,Konstanza,F,23
2003,Leyla,F,23
2003,Marianne,F,23
2003,Marion,F,23
2003,Marjorie,F,23
2003,Maríajosé,F,23
2003,Matilda,F,23
2003,Natali,F,23
2003,Roger,M,23
2003,Saúl,M,23
2003,Thania,F,23
2003,Thiara,F,23
2003,Vladimir,M,23
2003,Yanis,F,23
2003,Alen,M,22
2003,Ariana,F,22
2003,Basthian,M,22
2003,Denise,F,22
2003,Dennis,F,22
2003,Eileen,F,22
2003,Fátima,F,22
2003,Gino,M,22
2003,Jayson,M,22
2003,Julianna,F,22
2003,Katherina,F,22
2003,Myriam,F,22
2003,Ornella,F,22
2003,Rita,F,22
2003,Ronaldo,M,22
2003,Simon,M,22
2003,Siomara,F,22
2003,Skarlet,F,22
2003,Skarlett,F,22
2003,Yarela,F,22
2003,Yolanda,F,22
2003,Yulianna,F,22
2003,Amaranta,F,21
2003,Anahi,F,21
2003,Aylyn,F,21
2003,Carolaine,F,21
2003,Danny,M,21
2003,Elvis,M,21
2003,Francesco,M,21
2003,Humberto,M,21
2003,Jeniffer,F,21
2003,Kasandra,F,21
2003,Krichna,F,21
2003,Lourdes,F,21
2003,Luckas,M,21
2003,Madeleine,F,21
2003,Marthina,F,21
2003,Mayerly,F,21
2003,Mical,F,21
2003,Nicolle,F,21
2003,Noemi,F,21
2003,Olivia,F,21
2003,Sabina,F,21
2003,Yamila,F,21
2003,Anyela,F,20
2003,Berenice,F,20
2003,Carola,F,20
2003,Caterin,F,20
2003,Danko,M,20
2003,Edgard,M,20
2003,Elian,M,20
2003,Flor,F,20
2003,Giordano,M,20
2003,Isai,M,20
2003,Karim,M,20
2003,Liliana,F,20
2003,Linda,F,20
2003,Marlene,F,20
2003,Moises,M,20
2003,Nelly,F,20
2003,Néstor,M,20
2003,Pascal,F,20
2003,Rayén,F,20
2003,Yohana,F,20
2003,Yulisa,F,20
2003,Amapola,F,19
2003,Amira,F,19
2003,Amy,F,19
2003,Anasol,F,19
2003,Angello,M,19
2003,Axl,M,19
2003,Elba,F,19
2003,Ema,F,19
2003,Emma,F,19
2003,Gary,M,19
2003,Giovanna,F,19
2003,Isabela,F,19
2003,Ivannia,F,19
2003,Juanita,F,19
2003,Katrina,F,19
2003,Liam,M,19
2003,Madelaine,F,19
2003,Pola,F,19
2003,Soraya,F,19
2003,Stephany,F,19
2003,Susan,F,19
2003,Ulises,M,19
2003,Yadhira,F,19
2003,Yamilett,F,19
2003,Alexandre,M,18
2003,Alexsandra,F,18
2003,Antonela,F,18
2003,Aron,M,18
2003,Christián,M,18
2003,Crisna,F,18
2003,Cristhel,F,18
2003,Danna,F,18
2003,Francis,F,18
2003,Geraldy,F,18
2003,Gisela,F,18
2003,Guadalupe,F,18
2003,Inés,F,18
2003,Ivo,M,18
2003,Jeannette,F,18
2003,Jeisson,M,18
2003,Jhonatan,M,18
2003,Jim,M,18
2003,Joselin,F,18
2003,Nazareth,F,18
2003,Pabla,F,18
2003,Raul,M,18
2003,Waldo,M,18
2003,Xaviera,F,18
2003,Yadira,F,18
2003,Yair,M,18
2003,Yamil,M,18
2003,Yamileth,F,18
2003,Yessica,F,18
2003,Alessandra,F,17
2003,Benito,M,17
2003,Catarí,F,17
2003,Danixa,F,17
2003,Darly,F,17
2003,Eduard,M,17
2003,Estela,F,17
2003,Eugenio,M,17
2003,George,M,17
2003,Jefferson,M,17
2003,Johnny,M,17
2003,Joyce,F,17
2003,Kendra,F,17
2003,Kurt,M,17
2003,Liz,F,17
2003,Maikel,M,17
2003,Michell,F,17
2003,Sophie,F,17
2003,Thomás,M,17
2003,Yajaira,F,17
2003,Yasmin,F,17
2003,Yostin,M,17
2003,Abril,F,16
2003,Annette,F,16
2003,Ayelén,F,16
2003,Brisa,F,16
2003,Charlotte,F,16
2003,Christianne,F,16
2003,Cielo,F,16
2003,Crichna,F,16
2003,Daira,F,16
2003,Deisy,F,16
2003,Eloy,M,16
2003,Faviana,F,16
2003,Francheska,F,16
2003,Horacio,M,16
2003,Iker,M,16
2003,Irina,F,16
2003,Jan,M,16
2003,Jeremmy,M,16
2003,Katya,F,16
2003,Kimberlyn,F,16
2003,Lian,M,16
2003,Lisett,F,16
2003,Marilyn,F,16
2003,Matia,M,16
2003,Mayerli,F,16
2003,Maykel,M,16
2003,Nikolas,M,16
2003,Pascale,F,16
2003,Tanya,F,16
2003,Valerie,F,16
2003,Yan,M,16
2003,Úrsula,F,16
2003,Adonis,M,15
2003,Anabel,F,15
2003,Anaiz,F,15
2003,Armin,M,15
2003,Carolayn,F,15
2003,Dagoberto,M,15
2003,Daisy,F,15
2003,Dennise,F,15
2003,Edinson,M,15
2003,Erica,F,15
2003,Fabrizio,M,15
2003,Facundo,M,15
2003,Gennesis,F,15
2003,Georgina,F,15
2003,Herman,M,15
2003,Irma,F,15
2003,Jannis,F,15
2003,Jeimy,F,15
2003,Jessenia,F,15
2003,Joao,M,15
2003,Jordana,F,15
2003,Kristhel,F,15
2003,Lisset,F,15
2003,Lissete,F,15
2003,Lissett,F,15
2003,Marcel,M,15
2003,Mariajosé,F,15
2003,Maricel,F,15
2003,Melani,F,15
2003,Rose,F,15
2003,Ruben,M,15
2003,Vaithiare,F,15
2003,Yasiara,F,15
2003,Zamira,F,15
2003,Aarón,M,14
2003,Adan,M,14
2003,Ailine,F,14
2003,Alexsander,M,14
2003,Allen,M,14
2003,Aranxa,F,14
2003,Arleth,F,14
2003,Bernarda,F,14
2003,Catary,F,14
2003,Dafnne,F,14
2003,Darko,M,14
2003,Davis,M,14
2003,Demmis,M,14
2003,Denis,M,14
2003,Dámaris,F,14
2003,Fabio,M,14
2003,Franciska,F,14
2003,Fresia,F,14
2003,Genessis,F,14
2003,Hilda,F,14
2003,Inti,M,14
2003,James,M,14
2003,Jhoan,M,14
2003,Jordy,M,14
2003,Kenneth,M,14
2003,Lautaro,M,14
2003,Lucciano,M,14
2003,Madeline,F,14
2003,Margot,F,14
2003,Mariajesus,F,14
2003,Mercedes,F,14
2003,Moyra,F,14
2003,Nayarett,F,14
2003,Oriana,F,14
2003,Sharon,F,14
2003,Skarleth,F,14
2003,Valesca,F,14
2003,Vincenzo,M,14
2003,Yamir,M,14
2003,Zoe,F,14
2003,Agata,F,13
2003,Ailyne,F,13
2003,Ambar,F,13
2003,Anabella,F,13
2003,Anette,F,13
2003,Berta,F,13
2003,Carolain,F,13
2003,Caterina,F,13
2003,Connie,F,13
2003,Dario,M,13
2003,Edson,M,13
2003,Eleazar,M,13
2003,Federico,M,13
2003,Gadiel,M,13
2003,Genaro,M,13
2003,Giorgio,M,13
2003,Gregory,M,13
2003,Jasson,M,13
2003,Jenniffer,F,13
2003,Jenny,F,13
2003,Jeremias,M,13
2003,Johans,M,13
2003,Jonas,M,13
2003,Karim,F,13
2003,Karime,F,13
2003,Kenny,M,13
2003,Kimberli,F,13
2003,Lenin,M,13
2003,Lindsay,F,13
2003,Luca,M,13
2003,Mallerly,F,13
2003,Marcial,M,13
2003,Mariam,F,13
2003,Maritxu,F,13
2003,Marla,F,13
2003,María-José,F,13
2003,Maureen,F,13
2003,Mayckol,M,13
2003,Meylin,F,13
2003,Milenko,M,13
2003,Milán,M,13
2003,Nehemias,M,13
2003,Omara,F,13
2003,Selene,F,13
2003,Stefano,M,13
2003,Tahis,F,13
2003,Veronica,F,13
2003,Yeferson,M,13
2003,Yocelyn,F,13
2003,Ainara,F,12
2003,Alexandro,M,12
2003,Anaiss,F,12
2003,Areli,F,12
2003,Bernabé,M,12
2003,Betzabeth,F,12
2003,Blas,M,12
2003,Brigitte,F,12
2003,Carina,F,12
2003,Danay,F,12
2003,Dannia,F,12
2003,Dayra,F,12
2003,Deniss,F,12
2003,Dixon,M,12
2003,Gissela,F,12
2003,Hernan,M,12
2003,Jeanette,F,12
2003,Josias,M,12
2003,Jostin,M,12
2003,Julissa,F,12
2003,Kaory,F,12
2003,Katerina,F,12
2003,Kattalina,F,12
2003,Krystel,F,12
2003,Leopoldo,M,12
2003,Liseth,F,12
2003,Lorna,F,12
2003,Maickol,M,12
2003,Mariaignacia,F,12
2003,Maryorie,F,12
2003,Melannie,F,12
2003,Miranda,F,12
2003,Nazaret,F,12
2003,Nicholas,M,12
2003,Tahia,F,12
2003,Valentin,M,12
2003,Varinia,F,12
2003,Vasco,M,12
2003,Virginia,F,12
2003,Yerald,M,12
2003,Adam,M,11
2003,Alanys,F,11
2003,Albert,M,11
2003,Alexi,M,11
2003,Alinne,F,11
2003,Alonzo,M,11
2003,Andre,M,11
2003,Annaís,F,11
